Prestazione,Atleta,Cat.,Anno,Società,Disciplina,Gara
8.5,DAL POZZO Mattia,PM,2003.0,VE471 ASD ATLETICA BIOTEKNA,60Hs H106,https://www.fidal.it/risultati/2024/REG33841/Risultati/Gara222.html
8.5,VICENTINI Pietro,SM,1999.0,VR761 ATL. INSIEME VERONA,60Hs H106,https://www.fidal.it/risultati/2024/REG33841/Risultati/Gara222.html
8.52,SARGENTI Andrea,SM,1994.0,TR024 ASS.ATL.LIBERTAS ORVIETO,60Hs H106,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara020.html
8.53,PATERNOSTRO Riccardo,PM,2003.0,RM046 ASD ACSI ATLETICA CAMPIDOGLIO,60Hs H106,https://www.fidal.it/risultati/2024/REG33803/Risultati/Gara422.html
8.53,SABATIELLO Michele,PM,2002.0,BA091 ADEN EXPRIVIA DAI OPTICAL MOLF,60Hs H106,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
8.54,ZAVARESCO Giulio,PM,2004.0,UD030 ATLETICA MALIGNANI LIBERTAS UD,60Hs H106,https://www.fidal.it/risultati/2024/REG33871/Risultati/Gara420.html
8.54,CERRATO Andrea,SM,1999.0,CN001 A.S.D. ATL. FOSSANO '75,60Hs H106,https://www.fidal.it/risultati/2024/REG33700/Risultati/Gara202.html
8.54,DI MARCO Yuri(FC),SM,1996.0,SS220 A.S.D. ICHNOS SASSARI,60Hs H106,https://www.fidal.it/risultati/2024/REG33803/Risultati/Gara422.html
8.59,DI DONATO Emanuele,SM,1999.0,CH173 A.S.D. PIETRO MENNEA ATLETICA,60Hs H106,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
8.59,PATERNI Mattia,PM,2002.0,LU100 A.S. ATLETICA VIRTUS LUCCA,60Hs H106,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
