Data	Codice	Home	Risultati	Versione Sigma	Status	Ultimo Aggiornamento
2018-01-28	REG16081	https://www.fidal.it/risultati/2018/REG16081/Index.htm	https://www.fidal.it/risultati/2018/REG16081/RESULTSBYEVENT1.htm	Vecchio #1	ok	2024-02-10
2018-01-28	REG15905	https://www.fidal.it/risultati/2018/REG15905/Index.htm	https://www.fidal.it/risultati/2018/REG15905/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-31	REG16096	https://www.fidal.it/risultati/2018/REG16096/Index.htm	https://www.fidal.it/risultati/2018/REG16096/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-10
2018-02-01	REG16572	https://www.fidal.it/risultati/2018/REG16572/Index.htm	https://www.fidal.it/risultati/2018/REG16572/Index.htm	Vecchissimo	ok	2024-02-10
2018-02-03	REG16199	https://www.fidal.it/risultati/2018/REG16199/Index.htm	https://www.fidal.it/risultati/2018/REG16199/Index.htm	Vecchissimo	ok	2024-02-10
2018-02-03	REG16557	https://www.fidal.it/risultati/2018/REG16557/Index.htm	https://www.fidal.it/risultati/2018/REG16557/RESULTSBYEVENT1.htm	Vecchio #1	ok	2024-02-10
2018-02-03	REG16119	https://www.fidal.it/risultati/2018/REG16119/Index.htm	https://www.fidal.it/risultati/2018/REG16119/Index.htm	Vecchissimo	ok	2024-02-10
2018-02-03	REG16120	https://www.fidal.it/risultati/2018/REG16120/Index.htm	https://www.fidal.it/risultati/2018/REG16120/Index.htm	Vecchissimo	ok	2024-02-10
2018-02-03	REG16581				Gara non esistente	2024-02-10
2018-02-03	REG16469				Gara non esistente	2024-02-10
2018-02-04	REG16034	https://www.fidal.it/risultati/2018/REG16034/Index.htm	https://www.fidal.it/risultati/2018/REG16034/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-02-04	REG16207	https://www.fidal.it/risultati/2018/REG16207/Index.htm	https://www.fidal.it/risultati/2018/REG16207/Index.htm	Vecchissimo	ok	2024-02-10
2018-02-04	REG16200	https://www.fidal.it/risultati/2018/REG16200/Index.htm	https://www.fidal.it/risultati/2018/REG16200/Index.htm	Vecchissimo	ok	2024-02-10
2018-02-04	REG15883	https://www.fidal.it/risultati/2018/REG15883/Index.htm	https://www.fidal.it/risultati/2018/REG15883/Index.htm	Vecchissimo	ok	2024-02-10
2018-02-04	REG16558	https://www.fidal.it/risultati/2018/REG16558/Index.htm	https://www.fidal.it/risultati/2018/REG16558/RESULTSBYEVENT1.htm	Vecchio #1	ok	2024-02-10
2018-02-04	REG15847	https://www.fidal.it/risultati/2018/REG15847/Index.htm	https://www.fidal.it/risultati/2018/REG15847/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-02-04	COD6584	https://www.fidal.it/risultati/2018/COD6584/Index.htm	https://www.fidal.it/risultati/2018/COD6584/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-02-04	REG16124	https://www.fidal.it/risultati/2018/REG16124/Index.htm	https://www.fidal.it/risultati/2018/REG16124/Index.htm	Vecchissimo	ok	2024-02-10
2018-02-04	REG15906	https://www.fidal.it/risultati/2018/REG15906/Index.htm	https://www.fidal.it/risultati/2018/REG15906/Index.htm	Vecchissimo	ok	2024-02-10
2018-02-04	REG16125	https://www.fidal.it/risultati/2018/REG16125/Index.htm	https://www.fidal.it/risultati/2018/REG16125/Index.htm	Vecchissimo	ok	2024-02-10
2018-02-07	REG16553	https://www.fidal.it/risultati/2018/REG16553/Index.htm	https://www.fidal.it/risultati/2018/REG16553/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-02-08	REG16036	https://www.fidal.it/risultati/2018/REG16036/Index.htm	https://www.fidal.it/risultati/2018/REG16036/Index.htm	Vecchissimo	ok	2024-02-10
