Prest.,Vento,Atleta,Anno,Società,Città,Data
12.86,+0.3,SCOPEL Gioia,02,ANA ATL.FELTRE,Venezia,29/05/2021
12.87,+0.3,BARP Anna asia,04,ANA ATL.FELTRE,Bergamo,03/07/2021
12.88,-1.1,SCOPEL Gioia,02,ANA ATL.FELTRE,Feltre,26/06/2021
12.89,-1.7,BARP Anna asia,04,ANA ATL.FELTRE,Vicenza,09/05/2021
12.95,-1.5,BARP Anna asia,04,ANA ATL.FELTRE,Feltre,26/06/2021
12.98,+0.5,BARP Anna asia,04,ANA ATL.FELTRE,Rossano Veneto,05/09/2021
13.06,+1.1,BARP Anna asia,04,ANA ATL.FELTRE,Rossano Veneto,05/09/2021
13.06,-0.5,SCOPEL Gioia,02,ANA ATL.FELTRE,Verona,11/09/2021
13.07,+0.6,BARP Anna asia,04,ANA ATL.FELTRE,Verona,11/09/2021
13.07,-1.9,BARP Anna asia,04,ANA ATL.FELTRE,Cles,25/09/2021
13.09,+0.2,BARP Anna asia,04,ANA ATL.FELTRE,Verona,11/09/2021
13.19,+1.1,SCHENAL Anna,04,ANA ATL.FELTRE,Rossano Veneto,05/09/2021
13.22,+0.5,SCHENAL Anna,04,ANA ATL.FELTRE,Rossano Veneto,05/09/2021
13.25,+2.2,CASSOL Anita,05,ANA ATL.FELTRE,Padova,23/05/2021
13.36,+0.3,RENTO Ilaria,01,ANA ATL.FELTRE,Padova,24/04/2021
13.39,+2.2,DE BARBA Elena,04,ANA ATL.FELTRE,Padova,23/05/2021
13.42,+0.9,DE BARBA Elena,04,ANA ATL.FELTRE,Vicenza,09/05/2021
13.50,+1.7,CASSOL Anita,05,ANA ATL.FELTRE,Padova,24/04/2021
13.54,+0.5,DE PAOLI Camilla,05,ANA ATL.FELTRE,Rossano Veneto,05/09/2021
13.56,+0.3,DE BARBA Elena,04,ANA ATL.FELTRE,Padova,24/04/2021
13.64,+0.3,CASSOL Anita,05,ANA ATL.FELTRE,Venezia,29/05/2021
13.66,+0.9,DE BARBA Elena,04,ANA ATL.FELTRE,Venezia,29/05/2021
13.67,+0.2,DE PAOLI Camilla,05,ANA ATL.FELTRE,Rossano Veneto,05/09/2021
13.78,-0.5,DE BARBA Elena,04,ANA ATL.FELTRE,Feltre,26/06/2021
14.15,+0.2,DE BARBA Elena,04,ANA ATL.FELTRE,Rossano Veneto,05/09/2021
14.24,+0.5,DE BORTOLI Giulia,04,ANA ATL.FELTRE,Padova,24/04/2021
14.39,-0.7,DE BORTOLI Giulia,04,ANA ATL.FELTRE,Feltre,26/06/2021
14.65,-0.5,DAL ZOTTO Benedetta,05,ANA ATL.FELTRE,Venezia,29/05/2021
15.11,-0.8,DE RIZ Chiara,05,ANA ATL.FELTRE,Verona,11/09/2021
15.23,+0.3,DE RIZ Chiara,05,ANA ATL.FELTRE,Venezia,29/05/2021
15.47,-0.7,DE RIZ Chiara,05,ANA ATL.FELTRE,Feltre,26/06/2021
17.89,+0.7,FAJETI Fausta,61,ANA ATL.FELTRE,Agordo,24/07/2021
12.75,-0.2,SCOPEL Gioia,02,ANA ATL.FELTRE,Feltre,25/06/2022
12.79,-0.1,SCOPEL Gioia,02,ANA ATL.FELTRE,Modena,25/04/2022
12.91,-1.4,SCOPEL Gioia,02,ANA ATL.FELTRE,Feltre,25/06/2022
13.07,-0.7,SCOPEL Gioia,02,ANA ATL.FELTRE,San Biagio Di Callalta,02/07/2022
13.10,-2.1,SCOPEL Gioia,02,ANA ATL.FELTRE,Padova,01/05/2022
13.11,+1.7,BARP Anna asia,04,ANA ATL.FELTRE,Modena,25/04/2022
13.21,-0.7,BARP Anna asia,04,ANA ATL.FELTRE,Feltre,25/06/2022
13.26,-1.6,SCOPEL Gioia,02,ANA ATL.FELTRE,Vittorio Veneto,28/05/2022
13.26,+0.0,SCOPEL Gioia,02,ANA ATL.FELTRE,Vittorio Veneto,28/05/2022
13.32,-0.3,BARP Anna asia,04,ANA ATL.FELTRE,San Biagio Di Callalta,02/07/2022
13.60,+0.6,CASSOL Anita,05,ANA ATL.FELTRE,Verona,07/05/2022
13.61,-2.2,BARP Anna asia,04,ANA ATL.FELTRE,Vittorio Veneto,28/05/2022
13.71,+1.3,DE BARBA Elena,04,ANA ATL.FELTRE,Bolzano,02/06/2022
13.72,+0.3,RENTO Ilaria,01,ANA ATL.FELTRE,Lana,23/04/2022
13.81,-1.0,FRADA Sarah ludovica,06,ANA ATL.FELTRE,Feltre,25/06/2022
13.82,-1.8,CASSOL Anita,05,ANA ATL.FELTRE,Caorle,21/05/2022
13.89,-0.4,DE BARBA Elena,04,ANA ATL.FELTRE,San Biagio Di Callalta,02/07/2022
13.92,-1.4,DE BARBA Elena,04,ANA ATL.FELTRE,Feltre,25/06/2022
13.93,-1.1,FRADA Sarah ludovica,06,ANA ATL.FELTRE,San Biagio Di Callalta,02/07/2022
13.98,-0.4,FRADA Sarah ludovica,06,ANA ATL.FELTRE,Bolzano,02/06/2022
13.99,+2.0,COMIOTTO Giada,06,ANA ATL.FELTRE,Padova,01/05/2022
14.00,-1.5,DE BARBA Elena,04,ANA ATL.FELTRE,Montebelluna,13/07/2022
14.02,+1.9,MALACARNE Gioia,05,ANA ATL.FELTRE,Padova,01/05/2022
14.06,+1.4,DE BARBA Elena,04,ANA ATL.FELTRE,Padova,01/05/2022
14.07,+2.3,FRADA Sarah ludovica,06,ANA ATL.FELTRE,Padova,01/05/2022
14.17,+0.3,MOINO Eleonora,06,ANA ATL.FELTRE,Feltre,25/06/2022
14.18,-1.4,DE BARBA Elena,04,ANA ATL.FELTRE,Vittorio Veneto,28/05/2022
14.19,-0.1,COMIOTTO Giada,06,ANA ATL.FELTRE,Verona,07/05/2022
14.21,+0.3,COMIOTTO Giada,06,ANA ATL.FELTRE,Lana,23/04/2022
